checks,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
delete_owner_duration,1744829460,103.7276,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829460,84.4664,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829460,80.1079,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829460,8.9759,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829461,8.0209,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829461,7.5749,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829461,6.8068,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829461,76.351,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,7.3224,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,76.7113,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,5.7139,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,5.7507,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,5.3126,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,5.059,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,5.7719,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829462,66.9801,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,69.9009,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,5.1867,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,4.7011,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,5.2468,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,6.3835,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,4.5622,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,5.242,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829463,4.1286,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,4.7694,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,5.3223,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,4.694,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,4.6887,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,79.9092,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,4.149,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,77.1748,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,7.3632,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829464,4.7637,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.2545,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,5.2982,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,3.6796,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,3.7426,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.1785,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,5.2597,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.1865,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.7002,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.3294,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,82.0887,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,3.6754,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829465,4.6917,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,85.9186,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,4.1359,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,4.2219,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,3.6328,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,78.8141,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,4.2047,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,3.72,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,3.7187,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829466,4.7773,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
