timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716752504467,513,DELETE Pet,200,User threads 1-1,text,true,4433,348,1,1,http://localhost:8080/owners/1,235,0,18
1716752504467,239,DELETE Pet-0,302,User threads 1-1,,true,188,224,1,1,http://localhost:8080/owners/1/pets/1/delete,235,0,18
1716752504708,272,DELETE Pet-1,200,User threads 1-1,text,true,4245,124,1,1,http://localhost:8080/owners/1,271,0,0
1716752505418,20,DELETE Pet,200,User threads 1-2,text,true,4432,348,1,1,http://localhost:8080/owners/2,10,0,1
1716752505418,10,DELETE Pet-0,302,User threads 1-2,,true,188,224,1,1,http://localhost:8080/owners/2/pets/2/delete,10,0,1
1716752505428,10,DELETE Pet-1,200,User threads 1-2,text,true,4244,124,1,1,http://localhost:8080/owners/2,9,0,0
1716752506426,17,DELETE Pet,200,User threads 1-3,text,true,4436,348,1,1,http://localhost:8080/owners/3,8,0,0
1716752506426,8,DELETE Pet-0,302,User threads 1-3,,true,188,224,1,1,http://localhost:8080/owners/3/pets/3/delete,8,0,0
1716752506435,8,DELETE Pet-1,200,User threads 1-3,text,true,4248,124,1,1,http://localhost:8080/owners/3,8,0,0
1716752507417,15,DELETE Pet,200,User threads 1-4,text,true,4428,348,1,1,http://localhost:8080/owners/4,8,0,0
1716752507417,8,DELETE Pet-0,302,User threads 1-4,,true,188,224,1,1,http://localhost:8080/owners/4/pets/4/delete,8,0,0
1716752507425,7,DELETE Pet-1,200,User threads 1-4,text,true,4240,124,1,1,http://localhost:8080/owners/4,6,0,0
1716752508425,17,DELETE Pet,200,User threads 1-5,text,true,4430,348,1,1,http://localhost:8080/owners/5,9,0,1
1716752508425,9,DELETE Pet-0,302,User threads 1-5,,true,188,224,1,1,http://localhost:8080/owners/5/pets/5/delete,9,0,1
1716752508434,8,DELETE Pet-1,200,User threads 1-5,text,true,4242,124,1,1,http://localhost:8080/owners/5,8,0,0
1716752509415,16,DELETE Pet,200,User threads 1-6,text,true,4426,348,1,1,http://localhost:8080/owners/6,9,0,1
1716752509415,9,DELETE Pet-0,302,User threads 1-6,,true,188,224,1,1,http://localhost:8080/owners/6/pets/6/delete,9,0,1
1716752509424,7,DELETE Pet-1,200,User threads 1-6,text,true,4238,124,1,1,http://localhost:8080/owners/6,7,0,0
1716752510420,18,DELETE Pet,200,User threads 1-7,text,true,4423,348,1,1,http://localhost:8080/owners/7,10,0,1
1716752510420,10,DELETE Pet-0,302,User threads 1-7,,true,188,224,1,1,http://localhost:8080/owners/7/pets/7/delete,10,0,1
1716752510430,8,DELETE Pet-1,200,User threads 1-7,text,true,4235,124,1,1,http://localhost:8080/owners/7,8,0,0
1716752511412,17,DELETE Pet,200,User threads 1-8,text,true,4427,348,1,1,http://localhost:8080/owners/8,9,0,1
1716752511412,9,DELETE Pet-0,302,User threads 1-8,,true,188,224,1,1,http://localhost:8080/owners/8/pets/8/delete,9,0,1
1716752511421,8,DELETE Pet-1,200,User threads 1-8,text,true,4239,124,1,1,http://localhost:8080/owners/8,8,0,0
1716752512416,20,DELETE Pet,200,User threads 1-9,text,true,4435,348,1,1,http://localhost:8080/owners/9,12,0,1
1716752512416,12,DELETE Pet-0,302,User threads 1-9,,true,188,224,1,1,http://localhost:8080/owners/9/pets/9/delete,12,0,1
1716752512428,8,DELETE Pet-1,200,User threads 1-9,text,true,4247,124,1,1,http://localhost:8080/owners/9,8,0,0
1716752513422,15,DELETE Pet,200,User threads 1-10,text,true,4440,351,1,1,http://localhost:8080/owners/10,9,0,1
1716752513422,9,DELETE Pet-0,302,User threads 1-10,,true,189,226,1,1,http://localhost:8080/owners/10/pets/10/delete,9,0,1
1716752513432,5,DELETE Pet-1,200,User threads 1-10,text,true,4251,125,1,1,http://localhost:8080/owners/10,5,0,0
