timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716845411419,536,POST new pet,200,Original REST requests 1-1,text,true,4518,503,5,5,http://localhost:8080/owners/1;jsessionid=774A1898FD5FE6F0CB98EBCCB9325E1D,261,0,20
1716845411575,380,POST new pet,200,Original REST requests 1-2,text,true,4517,503,5,5,http://localhost:8080/owners/2;jsessionid=AE249F6EDD5C963475FD7952A331D88C,106,0,1
1716845411419,266,POST new pet-0,302,Original REST requests 1-1,,true,307,282,5,5,http://localhost:8080/owners/1/pets/new,261,0,20
1716845411575,111,POST new pet-0,302,Original REST requests 1-2,,true,307,282,5,5,http://localhost:8080/owners/2/pets/new,106,0,1
1716845411780,175,POST new pet,200,Original REST requests 1-3,text,true,4521,503,5,5,http://localhost:8080/owners/3;jsessionid=EDB4109318D44D69F067CE91AC94B7D2,12,0,1
1716845411690,265,POST new pet-1,200,Original REST requests 1-1,text,true,4211,221,5,5,http://localhost:8080/owners/1;jsessionid=774A1898FD5FE6F0CB98EBCCB9325E1D,264,0,0
1716845411690,265,POST new pet-1,200,Original REST requests 1-2,text,true,4210,221,5,5,http://localhost:8080/owners/2;jsessionid=AE249F6EDD5C963475FD7952A331D88C,264,0,0
1716845411780,12,POST new pet-0,302,Original REST requests 1-3,,true,307,282,5,5,http://localhost:8080/owners/3/pets/new,12,0,1
1716845411792,163,POST new pet-1,200,Original REST requests 1-3,text,true,4214,221,5,5,http://localhost:8080/owners/3;jsessionid=EDB4109318D44D69F067CE91AC94B7D2,162,0,0
1716845411985,15,POST new pet,200,Original REST requests 1-4,text,true,4518,503,5,5,http://localhost:8080/owners/1;jsessionid=F11C08218D26B25DB8D7A24AAA54450B,8,0,1
1716845411985,8,POST new pet-0,302,Original REST requests 1-4,,true,307,282,5,5,http://localhost:8080/owners/1/pets/new,8,0,1
1716845411993,7,POST new pet-1,200,Original REST requests 1-4,text,true,4211,221,5,5,http://localhost:8080/owners/1;jsessionid=F11C08218D26B25DB8D7A24AAA54450B,7,0,0
1716845412190,17,POST new pet,200,Original REST requests 1-5,text,true,4517,503,6,6,http://localhost:8080/owners/2;jsessionid=EA77975D9E540CAD0D33E9EA47FB2226,8,0,1
1716845412190,8,POST new pet-0,302,Original REST requests 1-5,,true,307,282,6,6,http://localhost:8080/owners/2/pets/new,8,0,1
1716845412198,9,POST new pet-1,200,Original REST requests 1-5,text,true,4210,221,6,6,http://localhost:8080/owners/2;jsessionid=EA77975D9E540CAD0D33E9EA47FB2226,9,0,0
1716845412301,15,Vets,200,Original REST requests 1-4,text,true,4264,178,7,7,http://localhost:8080/vets.html,14,0,0
1716845412258,58,Vets,200,Original REST requests 1-2,text,true,4264,178,7,7,http://localhost:8080/vets.html,57,0,0
1716845412258,58,Vets,200,Original REST requests 1-1,text,true,4264,178,7,7,http://localhost:8080/vets.html,57,0,0
1716845412258,58,Vets,200,Original REST requests 1-3,text,true,4264,178,7,7,http://localhost:8080/vets.html,57,0,0
1716845412395,15,POST new pet,200,Original REST requests 1-6,text,true,4521,503,7,7,http://localhost:8080/owners/3;jsessionid=2AAAEFE4ED7A80022B034545BBABB95C,8,0,1
1716845412395,8,POST new pet-0,302,Original REST requests 1-6,,true,307,282,7,7,http://localhost:8080/owners/3/pets/new,8,0,1
1716845412403,7,POST new pet-1,200,Original REST requests 1-6,text,true,4214,221,7,7,http://localhost:8080/owners/3;jsessionid=2AAAEFE4ED7A80022B034545BBABB95C,7,0,0
1716845412509,5,Vets,200,Original REST requests 1-5,text,true,4264,178,8,8,http://localhost:8080/vets.html,4,0,0
1716845412600,15,POST new pet,200,Original REST requests 1-7,text,true,4518,503,8,8,http://localhost:8080/owners/1;jsessionid=D8C6BBC14F70FFDFB019763BCC48E76F,8,0,1
1716845412600,8,POST new pet-0,302,Original REST requests 1-7,,true,307,282,8,8,http://localhost:8080/owners/1/pets/new,8,0,1
1716845412609,6,POST new pet-1,200,Original REST requests 1-7,text,true,4211,221,8,8,http://localhost:8080/owners/1;jsessionid=D8C6BBC14F70FFDFB019763BCC48E76F,6,0,0
1716845412618,11,Find owner,200,Original REST requests 1-4,text,true,3755,180,8,8,http://localhost:8080/owners/find,11,0,0
1716845412618,11,Find owner,200,Original REST requests 1-2,text,true,3755,180,8,8,http://localhost:8080/owners/find,11,0,0
1716845412618,11,Find owner,200,Original REST requests 1-1,text,true,3755,180,8,8,http://localhost:8080/owners/find,11,0,0
1716845412617,12,Find owner,200,Original REST requests 1-3,text,true,3755,180,8,8,http://localhost:8080/owners/find,12,0,0
1716845412711,5,Vets,200,Original REST requests 1-6,text,true,4264,178,9,9,http://localhost:8080/vets.html,5,0,0
1716845412816,3,Find owner,200,Original REST requests 1-5,text,true,3755,180,9,9,http://localhost:8080/owners/find,3,0,0
1716845412806,15,POST new pet,200,Original REST requests 1-8,text,true,4517,503,9,9,http://localhost:8080/owners/2;jsessionid=2747006D59602F7ACFB8731E28472134,8,0,1
1716845412806,8,POST new pet-0,302,Original REST requests 1-8,,true,307,282,9,9,http://localhost:8080/owners/2/pets/new,8,0,1
1716845412815,6,POST new pet-1,200,Original REST requests 1-8,text,true,4210,221,9,9,http://localhost:8080/owners/2;jsessionid=2747006D59602F7ACFB8731E28472134,6,0,0
1716845412918,4,Vets,200,Original REST requests 1-7,text,true,4264,178,10,10,http://localhost:8080/vets.html,4,0,0
1716845412930,40,POST Edit Owner,200,Original REST requests 1-4,text,true,4383,525,10,10,http://localhost:8080/owners/1,33,0,0
1716845412930,33,POST Edit Owner-0,302,Original REST requests 1-4,,true,188,348,10,10,http://localhost:8080/owners/1/edit,33,0,0
1716845412963,7,POST Edit Owner-1,200,Original REST requests 1-4,text,true,4195,177,10,10,http://localhost:8080/owners/1,6,0,0
1716845412930,40,POST Edit Owner,200,Original REST requests 1-2,text,true,4383,525,10,10,http://localhost:8080/owners/2,33,0,0
1716845412930,33,POST Edit Owner-0,302,Original REST requests 1-2,,true,188,348,10,10,http://localhost:8080/owners/2/edit,33,0,0
1716845412963,7,POST Edit Owner-1,200,Original REST requests 1-2,text,true,4195,177,10,10,http://localhost:8080/owners/2,6,0,0
1716845412930,40,POST Edit Owner,200,Original REST requests 1-1,text,true,4383,525,10,10,http://localhost:8080/owners/1,33,0,0
1716845412930,33,POST Edit Owner-0,302,Original REST requests 1-1,,true,188,348,10,10,http://localhost:8080/owners/1/edit,33,0,0
1716845412963,7,POST Edit Owner-1,200,Original REST requests 1-1,text,true,4195,177,10,10,http://localhost:8080/owners/1,6,0,0
1716845412930,40,POST Edit Owner,200,Original REST requests 1-3,text,true,4383,525,10,10,http://localhost:8080/owners/3,33,0,0
1716845412930,33,POST Edit Owner-0,302,Original REST requests 1-3,,true,188,348,10,10,http://localhost:8080/owners/3/edit,33,0,0
1716845412963,7,POST Edit Owner-1,200,Original REST requests 1-3,text,true,4195,177,10,10,http://localhost:8080/owners/3,6,0,0
1716845413018,3,Find owner,200,Original REST requests 1-6,text,true,3755,180,10,10,http://localhost:8080/owners/find,3,0,0
1716845413011,13,POST new pet,200,Original REST requests 1-9,text,true,4504,503,10,10,http://localhost:8080/owners/3;jsessionid=6D5D5CC60B23C62D80E7E36060225ED7,8,0,1
1716845413011,8,POST new pet-0,302,Original REST requests 1-9,,true,307,282,10,10,http://localhost:8080/owners/3/pets/new,8,0,1
1716845413019,5,POST new pet-1,200,Original REST requests 1-9,text,true,4197,221,10,10,http://localhost:8080/owners/3;jsessionid=6D5D5CC60B23C62D80E7E36060225ED7,5,0,0
1716845413122,5,Vets,200,Original REST requests 1-8,text,true,4264,178,11,11,http://localhost:8080/vets.html,5,0,0
1716845413120,14,POST Edit Owner,200,Original REST requests 1-5,text,true,4383,525,11,11,http://localhost:8080/owners/2,6,0,0
1716845413120,6,POST Edit Owner-0,302,Original REST requests 1-5,,true,188,348,11,11,http://localhost:8080/owners/2/edit,6,0,0
1716845413127,7,POST Edit Owner-1,200,Original REST requests 1-5,text,true,4195,177,11,11,http://localhost:8080/owners/2,7,0,0
1716845413223,4,Find owner,200,Original REST requests 1-7,text,true,3755,180,11,11,http://localhost:8080/owners/find,4,0,0
1716845413216,17,POST new pet,200,Original REST requests 1-10,text,true,4504,503,11,11,http://localhost:8080/owners/1;jsessionid=1791FC254F3E36616B500B76F7858803,9,0,1
1716845413216,9,POST new pet-0,302,Original REST requests 1-10,,true,307,282,11,11,http://localhost:8080/owners/1/pets/new,9,0,1
1716845413225,8,POST new pet-1,200,Original REST requests 1-10,text,true,4197,221,11,11,http://localhost:8080/owners/1;jsessionid=1791FC254F3E36616B500B76F7858803,8,0,0
1716845413272,34,POST new visit,200,Original REST requests 1-2,text,true,4389,490,11,11,http://localhost:8080/owners/2,17,0,0
1716845413272,34,POST new visit,200,Original REST requests 1-4,text,true,4389,490,11,11,http://localhost:8080/owners/1,17,0,0
1716845413272,17,POST new visit-0,302,Original REST requests 1-2,,true,188,313,11,11,http://localhost:8080/owners/2/pets/2/visits/new,17,0,0
1716845413272,34,POST new visit,200,Original REST requests 1-1,text,true,4389,490,11,11,http://localhost:8080/owners/1,17,0,0
1716845413289,17,POST new visit-1,200,Original REST requests 1-2,text,true,4201,177,11,11,http://localhost:8080/owners/2,16,0,0
1716845413272,17,POST new visit-0,302,Original REST requests 1-4,,true,188,313,11,11,http://localhost:8080/owners/1/pets/1/visits/new,17,0,0
1716845413272,17,POST new visit-0,302,Original REST requests 1-1,,true,188,313,11,11,http://localhost:8080/owners/1/pets/1/visits/new,17,0,0
1716845413272,34,POST new visit,200,Original REST requests 1-3,text,true,4389,490,11,11,http://localhost:8080/owners/3,17,0,0
1716845413289,17,POST new visit-1,200,Original REST requests 1-1,text,true,4201,177,11,11,http://localhost:8080/owners/1,16,0,0
1716845413289,17,POST new visit-1,200,Original REST requests 1-4,text,true,4201,177,11,11,http://localhost:8080/owners/1,16,0,0
1716845413272,17,POST new visit-0,302,Original REST requests 1-3,,true,188,313,11,11,http://localhost:8080/owners/3/pets/3/visits/new,17,0,0
1716845413289,17,POST new visit-1,200,Original REST requests 1-3,text,true,4201,177,11,11,http://localhost:8080/owners/3,16,0,0
1716845413327,11,Vets,200,Original REST requests 1-9,text,true,4264,178,8,8,http://localhost:8080/vets.html,11,0,0
1716845413322,22,POST Edit Owner,200,Original REST requests 1-6,text,true,4383,525,8,8,http://localhost:8080/owners/3,14,0,0
1716845413322,14,POST Edit Owner-0,302,Original REST requests 1-6,,true,188,348,8,8,http://localhost:8080/owners/3/edit,14,0,0
1716845413336,8,POST Edit Owner-1,200,Original REST requests 1-6,text,true,4195,177,8,8,http://localhost:8080/owners/3,8,0,0
1716845413428,5,Find owner,200,Original REST requests 1-8,text,true,3755,180,8,8,http://localhost:8080/owners/find,4,0,0
1716845413421,16,POST new pet,200,Original REST requests 1-11,text,true,4504,503,8,8,http://localhost:8080/owners/2;jsessionid=7D6BA90EDC458E36B0CDCDA637A99F35,8,0,1
1716845413421,8,POST new pet-0,302,Original REST requests 1-11,,true,307,282,8,8,http://localhost:8080/owners/2/pets/new,8,0,1
1716845413429,8,POST new pet-1,200,Original REST requests 1-11,text,true,4197,221,8,8,http://localhost:8080/owners/2;jsessionid=7D6BA90EDC458E36B0CDCDA637A99F35,7,0,0
1716845413435,11,POST new visit,200,Original REST requests 1-5,text,true,4389,490,8,8,http://localhost:8080/owners/2,5,0,0
1716845413435,5,POST new visit-0,302,Original REST requests 1-5,,true,188,313,8,8,http://localhost:8080/owners/2/pets/2/visits/new,5,0,0
