timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716844804638,560,DELETE Owner,200,,User threads 1-1,text,true,,4943,339,1,1,http://localhost:8080/owners,256,0,24
1716844804638,259,DELETE Owner-0,302,,User threads 1-1,,true,,186,217,1,1,http://localhost:8080/owners/1/delete,256,0,24
1716844804898,300,DELETE Owner-1,200,,User threads 1-1,text,true,,4757,122,1,1,http://localhost:8080/owners,299,0,0
1716844805586,32,DELETE Owner,200,,User threads 1-2,text,true,,4934,339,1,1,http://localhost:8080/owners,16,0,1
1716844805586,16,DELETE Owner-0,302,,User threads 1-2,,true,,186,217,1,1,http://localhost:8080/owners/2/delete,16,0,1
1716844805602,16,DELETE Owner-1,200,,User threads 1-2,text,true,,4748,122,1,1,http://localhost:8080/owners,16,0,0
1716844806584,55,DELETE Owner,200,,User threads 1-3,text,true,,4925,339,1,1,http://localhost:8080/owners,25,0,1
1716844806584,25,DELETE Owner-0,302,,User threads 1-3,,true,,186,217,1,1,http://localhost:8080/owners/3/delete,25,0,1
1716844806610,29,DELETE Owner-1,200,,User threads 1-3,text,true,,4739,122,1,1,http://localhost:8080/owners,29,0,0
1716844807583,25,DELETE Owner,200,,User threads 1-4,text,true,,4932,339,1,1,http://localhost:8080/owners,13,0,1
1716844807583,13,DELETE Owner-0,302,,User threads 1-4,,true,,186,217,1,1,http://localhost:8080/owners/4/delete,13,0,1
1716844807596,12,DELETE Owner-1,200,,User threads 1-4,text,true,,4746,122,1,1,http://localhost:8080/owners,12,0,0
1716844808581,24,DELETE Owner,200,,User threads 1-5,text,true,,4315,339,1,1,http://localhost:8080/owners,12,0,0
1716844808581,12,DELETE Owner-0,302,,User threads 1-5,,true,,186,217,1,1,http://localhost:8080/owners/5/delete,12,0,0
1716844808593,12,DELETE Owner-1,200,,User threads 1-5,text,true,,4129,122,1,1,http://localhost:8080/owners,12,0,0
1716844809579,21,DELETE Owner,200,,User threads 1-6,text,true,,4153,339,1,1,http://localhost:8080/owners,11,0,0
1716844809579,11,DELETE Owner-0,302,,User threads 1-6,,true,,186,217,1,1,http://localhost:8080/owners/6/delete,11,0,0
1716844809590,10,DELETE Owner-1,200,,User threads 1-6,text,true,,3967,122,1,1,http://localhost:8080/owners,10,0,0
1716844810577,26,DELETE Owner,200,,User threads 1-7,text,true,,3994,339,1,1,http://localhost:8080/owners,15,0,0
1716844810577,15,DELETE Owner-0,302,,User threads 1-7,,true,,186,217,1,1,http://localhost:8080/owners/7/delete,15,0,0
1716844810592,11,DELETE Owner-1,200,,User threads 1-7,text,true,,3808,122,1,1,http://localhost:8080/owners,11,0,0
1716844811579,23,DELETE Owner,200,,User threads 1-8,text,true,,3831,339,1,1,http://localhost:8080/owners,14,0,0
1716844811579,14,DELETE Owner-0,302,,User threads 1-8,,true,,186,217,1,1,http://localhost:8080/owners/8/delete,14,0,0
1716844811593,9,DELETE Owner-1,200,,User threads 1-8,text,true,,3645,122,1,1,http://localhost:8080/owners,8,0,0
1716844812590,28,DELETE Owner,200,,User threads 1-9,text,true,,4476,464,1,1,http://localhost:8080/owners/10,10,0,0
1716844812590,10,DELETE Owner-0,302,,User threads 1-9,,true,,186,217,1,1,http://localhost:8080/owners/9/delete,10,0,0
1716844812600,4,DELETE Owner-1,302,,User threads 1-9,,true,,189,122,1,1,http://localhost:8080/owners,4,0,0
1716844812605,13,DELETE Owner-2,200,,User threads 1-9,text,true,,4101,125,1,1,http://localhost:8080/owners/10,13,0,0
1716844813589,48,DELETE Owner,200,,User threads 1-10,text,true,,4007,340,1,1,http://localhost:8080/owners,19,0,1
1716844813589,19,DELETE Owner-0,302,,User threads 1-10,,true,,186,218,1,1,http://localhost:8080/owners/10/delete,19,0,1
1716844813608,29,DELETE Owner-1,200,,User threads 1-10,text,true,,3821,122,1,1,http://localhost:8080/owners,28,0,0
