timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716751591355,522,POST new pet,200,Original REST requests 1-1,text,true,6487,503,5,5,http://localhost:8080/owners/1;jsessionid=B5DCB64DEA6C5CB8ACBC267784A746AD,266,0,17
1716751591720,157,POST new pet,200,Original REST requests 1-3,text,true,6491,503,5,5,http://localhost:8080/owners/3;jsessionid=6AB61340AE324F9A59E8DC123043CBD9,12,0,1
1716751591355,270,POST new pet-0,302,Original REST requests 1-1,,true,307,282,5,5,http://localhost:8080/owners/1/pets/new,266,0,17
1716751591720,12,POST new pet-0,302,Original REST requests 1-3,,true,307,282,5,5,http://localhost:8080/owners/3/pets/new,12,0,1
1716751591514,363,POST new pet,200,Original REST requests 1-2,text,true,6492,503,5,5,http://localhost:8080/owners/2;jsessionid=6BD56F8890F760FEEF39A9FF029BC632,107,0,1
1716751591627,250,POST new pet-1,200,Original REST requests 1-1,text,true,6180,221,5,5,http://localhost:8080/owners/1;jsessionid=B5DCB64DEA6C5CB8ACBC267784A746AD,249,0,0
1716751591733,144,POST new pet-1,200,Original REST requests 1-3,text,true,6184,221,5,5,http://localhost:8080/owners/3;jsessionid=6AB61340AE324F9A59E8DC123043CBD9,143,0,0
1716751591514,111,POST new pet-0,302,Original REST requests 1-2,,true,307,282,5,5,http://localhost:8080/owners/2/pets/new,107,0,1
1716751591627,250,POST new pet-1,200,Original REST requests 1-2,text,true,6185,221,5,5,http://localhost:8080/owners/2;jsessionid=6BD56F8890F760FEEF39A9FF029BC632,249,0,0
1716751591925,33,POST new pet,200,Original REST requests 1-4,text,true,5249,282,5,5,http://localhost:8080/owners/1/pets/new,32,0,1
1716751592130,17,POST new pet,200,Original REST requests 1-5,text,true,5245,282,6,6,http://localhost:8080/owners/2/pets/new,17,0,1
1716751592180,43,Vets,200,Original REST requests 1-2,text,true,4264,178,6,6,http://localhost:8080/vets.html,43,0,0
1716751592180,43,Vets,200,Original REST requests 1-3,text,true,4264,178,6,6,http://localhost:8080/vets.html,43,0,0
1716751592182,41,Vets,200,Original REST requests 1-1,text,true,4264,178,6,6,http://localhost:8080/vets.html,41,0,0
1716751592258,6,Vets,200,Original REST requests 1-4,text,true,4264,125,7,7,http://localhost:8080/vets.html,6,0,0
1716751592335,15,POST new pet,200,Original REST requests 1-6,text,true,5251,282,7,7,http://localhost:8080/owners/3/pets/new,15,0,0
1716751592448,5,Vets,200,Original REST requests 1-5,text,true,4264,125,8,8,http://localhost:8080/vets.html,5,0,0
1716751592525,6,Find owner,200,Original REST requests 1-3,text,true,3755,180,8,8,http://localhost:8080/owners/find,6,0,0
1716751592525,6,Find owner,200,Original REST requests 1-2,text,true,3755,180,8,8,http://localhost:8080/owners/find,6,0,0
1716751592525,6,Find owner,200,Original REST requests 1-1,text,true,3755,180,8,8,http://localhost:8080/owners/find,6,0,0
1716751592540,14,POST new pet,200,Original REST requests 1-7,text,true,5249,282,8,8,http://localhost:8080/owners/1/pets/new,13,0,1
1716751592566,3,Find owner,200,Original REST requests 1-4,text,true,3755,127,8,8,http://localhost:8080/owners/find,3,0,0
1716751592651,5,Vets,200,Original REST requests 1-6,text,true,4264,125,9,9,http://localhost:8080/vets.html,5,0,0
1716751592756,3,Find owner,200,Original REST requests 1-5,text,true,3755,127,9,9,http://localhost:8080/owners/find,3,0,0
1716751592746,16,POST new pet,200,Original REST requests 1-8,text,true,5245,282,9,9,http://localhost:8080/owners/2/pets/new,15,0,0
1716751592855,11,Vets,200,Original REST requests 1-7,text,true,4264,125,10,10,http://localhost:8080/vets.html,4,0,0
