timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716749031097,394,POST new pet,200,Original REST requests 1-4,text,true,7297,487,10,10,http://localhost:8080/owners/1;jsessionid=F90D09CA818C996ECB4B6A5D83E307FD,96,0,1
1716749030891,600,POST new pet,200,Original REST requests 1-2,text,true,6482,487,10,10,http://localhost:8080/owners/2;jsessionid=A9E24C2A4C685601D0976650FE55DF47,302,0,1
1716749030844,647,POST new pet,200,Original REST requests 1-1,text,true,7297,487,10,10,http://localhost:8080/owners/1;jsessionid=56322BCAC1050765C63B46CEA4043D67,350,0,21
1716749030891,306,POST new pet-0,302,Original REST requests 1-2,,true,307,266,10,10,http://localhost:8080/owners/2/pets/new,302,0,1
1716749030844,354,POST new pet-0,302,Original REST requests 1-1,,true,307,266,10,10,http://localhost:8080/owners/1/pets/new,350,0,21
1716749031200,291,POST new pet-1,200,Original REST requests 1-2,text,true,6175,221,10,10,http://localhost:8080/owners/2;jsessionid=A9E24C2A4C685601D0976650FE55DF47,290,0,0
1716749031200,291,POST new pet-1,200,Original REST requests 1-1,text,true,6990,221,10,10,http://localhost:8080/owners/1;jsessionid=56322BCAC1050765C63B46CEA4043D67,290,0,0
1716749031097,100,POST new pet-0,302,Original REST requests 1-4,,true,307,266,10,10,http://localhost:8080/owners/1/pets/new,96,0,1
1716749030995,496,POST new pet,200,Original REST requests 1-3,text,true,6481,487,10,10,http://localhost:8080/owners/3;jsessionid=B0F868AC253D89810382FB6D2ACA974B,198,0,2
1716749031200,291,POST new pet-1,200,Original REST requests 1-4,text,true,6990,221,10,10,http://localhost:8080/owners/1;jsessionid=F90D09CA818C996ECB4B6A5D83E307FD,290,0,0
1716749030995,202,POST new pet-0,302,Original REST requests 1-3,,true,307,266,10,10,http://localhost:8080/owners/3/pets/new,198,0,2
1716749031200,291,POST new pet-1,200,Original REST requests 1-3,text,true,6174,221,10,10,http://localhost:8080/owners/3;jsessionid=B0F868AC253D89810382FB6D2ACA974B,290,0,0
1716749031199,305,POST new pet,200,Original REST requests 1-5,text,true,5235,266,10,10,http://localhost:8080/owners/2/pets/new,305,0,1
1716749031403,101,POST new pet,200,Original REST requests 1-7,text,true,5239,266,10,10,http://localhost:8080/owners/1/pets/new,101,0,1
1716749031303,201,POST new pet,200,Original REST requests 1-6,text,true,5241,266,10,10,http://localhost:8080/owners/3/pets/new,201,0,1
1716749031505,17,POST new pet,200,Original REST requests 1-8,text,true,5235,266,11,11,http://localhost:8080/owners/2/pets/new,17,0,1
1716749031608,19,POST new pet,200,Original REST requests 1-9,text,true,5241,266,12,12,http://localhost:8080/owners/3/pets/new,18,0,1
1716749031711,17,POST new pet,200,Original REST requests 1-10,text,true,5239,266,13,13,http://localhost:8080/owners/1/pets/new,17,0,0
1716749031813,17,POST new pet,200,Original REST requests 1-11,text,true,5235,266,14,14,http://localhost:8080/owners/2/pets/new,17,0,0
1716749031807,53,Vets,200,Original REST requests 1-5,text,true,4264,125,14,14,http://localhost:8080/vets.html,53,0,0
1716749031794,66,Vets,200,Original REST requests 1-4,text,true,4264,178,14,14,http://localhost:8080/vets.html,66,0,0
1716749031794,67,Vets,200,Original REST requests 1-2,text,true,4264,178,14,14,http://localhost:8080/vets.html,66,0,0
1716749031823,37,Vets,200,Original REST requests 1-8,text,true,4264,125,14,14,http://localhost:8080/vets.html,37,0,0
1716749031794,66,Vets,200,Original REST requests 1-1,text,true,4264,178,14,14,http://localhost:8080/vets.html,66,0,0
1716749031807,53,Vets,200,Original REST requests 1-6,text,true,4264,125,14,14,http://localhost:8080/vets.html,53,0,0
1716749031807,53,Vets,200,Original REST requests 1-7,text,true,4264,125,14,14,http://localhost:8080/vets.html,53,0,0
1716749031794,67,Vets,200,Original REST requests 1-3,text,true,4264,178,14,14,http://localhost:8080/vets.html,66,0,0
1716749031915,16,POST new pet,200,Original REST requests 1-12,text,true,5241,266,15,15,http://localhost:8080/owners/3/pets/new,16,0,1
1716749031928,4,Vets,200,Original REST requests 1-9,text,true,4264,125,15,15,http://localhost:8080/vets.html,4,0,0
1716749032016,13,POST new pet,200,Original REST requests 1-13,text,true,5239,266,16,16,http://localhost:8080/owners/1/pets/new,13,0,1
1716749032030,5,Vets,200,Original REST requests 1-10,text,true,4264,125,16,16,http://localhost:8080/vets.html,4,0,0
1716749032118,13,POST new pet,200,Original REST requests 1-14,text,true,5235,266,17,17,http://localhost:8080/owners/2/pets/new,13,0,0
1716749032132,3,Vets,200,Original REST requests 1-11,text,true,4264,125,17,17,http://localhost:8080/vets.html,3,0,0
1716749032162,9,Find owner,200,Original REST requests 1-1,text,true,3755,180,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,9,Find owner,200,Original REST requests 1-6,text,true,3755,127,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,9,Find owner,200,Original REST requests 1-4,text,true,3755,180,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,9,Find owner,200,Original REST requests 1-5,text,true,3755,127,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,10,Find owner,200,Original REST requests 1-3,text,true,3755,180,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,9,Find owner,200,Original REST requests 1-2,text,true,3755,180,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,9,Find owner,200,Original REST requests 1-7,text,true,3755,127,17,17,http://localhost:8080/owners/find,9,0,0
1716749032162,10,Find owner,200,Original REST requests 1-8,text,true,3755,127,17,17,http://localhost:8080/owners/find,9,0,0
1716749032232,3,Vets,200,Original REST requests 1-12,text,true,4264,125,18,18,http://localhost:8080/vets.html,3,0,0
1716749032233,2,Find owner,200,Original REST requests 1-9,text,true,3755,127,18,18,http://localhost:8080/owners/find,2,0,0
1716749032220,16,POST new pet,200,Original REST requests 1-15,text,true,5241,266,18,18,http://localhost:8080/owners/3/pets/new,16,0,1
1716749032331,3,Vets,200,Original REST requests 1-13,text,true,4264,125,19,19,http://localhost:8080/vets.html,3,0,0
1716749032336,3,Find owner,200,Original REST requests 1-10,text,true,3755,127,19,19,http://localhost:8080/owners/find,3,0,0
1716749032322,17,POST new pet,200,Original REST requests 1-16,text,true,5239,266,19,19,http://localhost:8080/owners/1/pets/new,17,0,1
1716749032432,4,Vets,200,Original REST requests 1-14,text,true,4264,125,20,20,http://localhost:8080/vets.html,4,0,0
1716749032436,2,Find owner,200,Original REST requests 1-11,text,true,3755,127,20,20,http://localhost:8080/owners/find,2,0,0
1716749032424,18,POST new pet,200,Original REST requests 1-17,text,true,5235,266,20,20,http://localhost:8080/owners/2/pets/new,18,0,1
1716749032536,8,Find owner,200,Original REST requests 1-12,text,true,3755,127,21,21,http://localhost:8080/owners/find,7,0,0
1716749032539,5,Vets,200,Original REST requests 1-15,text,true,4264,125,21,21,http://localhost:8080/vets.html,5,0,0
1716749032526,26,POST new pet,200,Original REST requests 1-18,text,true,5241,266,21,21,http://localhost:8080/owners/3/pets/new,26,0,2
1716749032536,25,POST Edit Owner,200,Original REST requests 1-9,text,true,6462,516,21,21,http://localhost:8080/owners/3;jsessionid=ECB6B955682ADCFE20BC88CE3B826A94,18,0,0
1716749032473,88,POST Edit Owner,200,Original REST requests 1-8,text,true,6467,516,21,21,http://localhost:8080/owners/2;jsessionid=182928AF2C337E6305F6C5CC5E150D13,81,0,0
1716749032536,18,POST Edit Owner-0,302,Original REST requests 1-9,,true,307,295,21,21,http://localhost:8080/owners/3/edit,18,0,0
1716749032473,88,POST Edit Owner,200,Original REST requests 1-7,text,true,7281,516,21,21,http://localhost:8080/owners/1;jsessionid=7E7B068E457BA170048FE379D9040E00,81,0,0
1716749032473,88,POST Edit Owner,200,Original REST requests 1-6,text,true,6462,516,21,21,http://localhost:8080/owners/3;jsessionid=E90FF2CAEAE4024B4A6752B1D25111D6,81,0,0
1716749032554,7,POST Edit Owner-1,200,Original REST requests 1-9,text,true,6155,221,21,21,http://localhost:8080/owners/3;jsessionid=ECB6B955682ADCFE20BC88CE3B826A94,7,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-7,,true,307,295,21,21,http://localhost:8080/owners/1/edit,81,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-6,,true,307,295,21,21,http://localhost:8080/owners/3/edit,81,0,0
1716749032554,7,POST Edit Owner-1,200,Original REST requests 1-7,text,true,6974,221,21,21,http://localhost:8080/owners/1;jsessionid=7E7B068E457BA170048FE379D9040E00,7,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-8,,true,307,295,21,21,http://localhost:8080/owners/2/edit,81,0,0
1716749032473,88,POST Edit Owner,200,Original REST requests 1-3,text,true,6343,525,21,21,http://localhost:8080/owners/3,81,0,0
1716749032554,7,POST Edit Owner-1,200,Original REST requests 1-8,text,true,6160,221,21,21,http://localhost:8080/owners/2;jsessionid=182928AF2C337E6305F6C5CC5E150D13,7,0,0
1716749032554,7,POST Edit Owner-1,200,Original REST requests 1-6,text,true,6155,221,21,21,http://localhost:8080/owners/3;jsessionid=E90FF2CAEAE4024B4A6752B1D25111D6,7,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-3,,true,188,348,21,21,http://localhost:8080/owners/3/edit,81,0,0
1716749032473,89,POST Edit Owner,200,Original REST requests 1-1,text,true,7162,525,21,21,http://localhost:8080/owners/1,81,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-1,,true,188,348,21,21,http://localhost:8080/owners/1/edit,81,0,0
1716749032554,7,POST Edit Owner-1,200,Original REST requests 1-3,text,true,6155,177,21,21,http://localhost:8080/owners/3,7,0,0
1716749032473,89,POST Edit Owner,200,Original REST requests 1-2,text,true,6348,525,21,21,http://localhost:8080/owners/2,81,0,0
1716749032554,8,POST Edit Owner-1,200,Original REST requests 1-1,text,true,6974,177,21,21,http://localhost:8080/owners/1,7,0,0
1716749032473,81,POST Edit Owner-0,302,Original REST requests 1-2,,true,188,348,21,21,http://localhost:8080/owners/2/edit,81,0,0
1716749032554,8,POST Edit Owner-1,200,Original REST requests 1-2,text,true,6160,177,21,21,http://localhost:8080/owners/2,7,0,0
