timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717003767069,434,DELETE Owner,200,,User threads 1-1,text,true,,4943,339,1,1,http://localhost:8080/owners,210,0,18
1717003767069,212,DELETE Owner-0,302,,User threads 1-1,,true,,186,217,1,1,http://localhost:8080/owners/1/delete,210,0,18
1717003767282,221,DELETE Owner-1,200,,User threads 1-1,text,true,,4757,122,1,1,http://localhost:8080/owners,221,0,0
1717003768028,19,DELETE Owner,200,,User threads 1-2,text,true,,4934,339,1,1,http://localhost:8080/owners,9,0,1
1717003768028,9,DELETE Owner-0,302,,User threads 1-2,,true,,186,217,1,1,http://localhost:8080/owners/2/delete,9,0,1
1717003768038,9,DELETE Owner-1,200,,User threads 1-2,text,true,,4748,122,1,1,http://localhost:8080/owners,9,0,0
1717003769035,27,DELETE Owner,200,,User threads 1-3,text,true,,4925,339,1,1,http://localhost:8080/owners,14,0,1
1717003769035,14,DELETE Owner-0,302,,User threads 1-3,,true,,186,217,1,1,http://localhost:8080/owners/3/delete,14,0,1
1717003769049,13,DELETE Owner-1,200,,User threads 1-3,text,true,,4739,122,1,1,http://localhost:8080/owners,13,0,0
1717003770039,18,DELETE Owner,200,,User threads 1-4,text,true,,4932,339,1,1,http://localhost:8080/owners,9,0,0
1717003770039,9,DELETE Owner-0,302,,User threads 1-4,,true,,186,217,1,1,http://localhost:8080/owners/4/delete,9,0,0
1717003770049,8,DELETE Owner-1,200,,User threads 1-4,text,true,,4746,122,1,1,http://localhost:8080/owners,8,0,0
1717003771029,17,DELETE Owner,200,,User threads 1-5,text,true,,4315,339,1,1,http://localhost:8080/owners,10,0,2
1717003771029,10,DELETE Owner-0,302,,User threads 1-5,,true,,186,217,1,1,http://localhost:8080/owners/5/delete,10,0,2
1717003771039,7,DELETE Owner-1,200,,User threads 1-5,text,true,,4129,122,1,1,http://localhost:8080/owners,7,0,0
1717003772028,14,DELETE Owner,200,,User threads 1-6,text,true,,4153,339,1,1,http://localhost:8080/owners,8,0,1
1717003772028,8,DELETE Owner-0,302,,User threads 1-6,,true,,186,217,1,1,http://localhost:8080/owners/6/delete,8,0,1
1717003772037,5,DELETE Owner-1,200,,User threads 1-6,text,true,,3967,122,1,1,http://localhost:8080/owners,5,0,0
1717003773025,16,DELETE Owner,200,,User threads 1-7,text,true,,3994,339,1,1,http://localhost:8080/owners,10,0,1
1717003773025,10,DELETE Owner-0,302,,User threads 1-7,,true,,186,217,1,1,http://localhost:8080/owners/7/delete,10,0,1
1717003773035,6,DELETE Owner-1,200,,User threads 1-7,text,true,,3808,122,1,1,http://localhost:8080/owners,6,0,0
1717003774032,15,DELETE Owner,200,,User threads 1-8,text,true,,3831,339,1,1,http://localhost:8080/owners,10,0,1
1717003774032,10,DELETE Owner-0,302,,User threads 1-8,,true,,186,217,1,1,http://localhost:8080/owners/8/delete,10,0,1
1717003774042,5,DELETE Owner-1,200,,User threads 1-8,text,true,,3645,122,1,1,http://localhost:8080/owners,5,0,0
1717003775022,26,DELETE Owner,200,,User threads 1-9,text,true,,4483,464,1,1,http://localhost:8080/owners/10,8,0,1
1717003775022,8,DELETE Owner-0,302,,User threads 1-9,,true,,186,217,1,1,http://localhost:8080/owners/9/delete,8,0,1
1717003775030,5,DELETE Owner-1,302,,User threads 1-9,,true,,189,122,1,1,http://localhost:8080/owners,5,0,0
1717003775035,13,DELETE Owner-2,200,,User threads 1-9,text,true,,4108,125,1,1,http://localhost:8080/owners/10,13,0,0
1717003776027,25,DELETE Owner,200,,User threads 1-10,text,true,,4007,340,1,1,http://localhost:8080/owners,8,0,0
1717003776027,8,DELETE Owner-0,302,,User threads 1-10,,true,,186,218,1,1,http://localhost:8080/owners/10/delete,8,0,0
1717003776036,16,DELETE Owner-1,200,,User threads 1-10,text,true,,3821,122,1,1,http://localhost:8080/owners,16,0,0
