timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716752298040,456,DELETE Pet,200,User threads 1-1,text,true,4433,348,1,1,http://localhost:8080/owners/1,226,0,18
1716752298040,229,DELETE Pet-0,302,User threads 1-1,,true,188,224,1,1,http://localhost:8080/owners/1/pets/1/delete,226,0,18
1716752298272,224,DELETE Pet-1,200,User threads 1-1,text,true,4245,124,1,1,http://localhost:8080/owners/1,224,0,0
1716752299000,17,DELETE Pet,200,User threads 1-2,text,true,4432,348,1,1,http://localhost:8080/owners/2,9,0,1
1716752299000,9,DELETE Pet-0,302,User threads 1-2,,true,188,224,1,1,http://localhost:8080/owners/2/pets/2/delete,9,0,1
1716752299009,8,DELETE Pet-1,200,User threads 1-2,text,true,4244,124,1,1,http://localhost:8080/owners/2,7,0,0
1716752300004,18,DELETE Pet,200,User threads 1-3,text,true,4436,348,1,1,http://localhost:8080/owners/3,9,0,1
1716752300004,9,DELETE Pet-0,302,User threads 1-3,,true,188,224,1,1,http://localhost:8080/owners/3/pets/3/delete,9,0,1
1716752300013,9,DELETE Pet-1,200,User threads 1-3,text,true,4248,124,1,1,http://localhost:8080/owners/3,9,0,0
1716752300998,15,DELETE Pet,200,User threads 1-4,text,true,4428,348,1,1,http://localhost:8080/owners/4,8,0,0
1716752300998,8,DELETE Pet-0,302,User threads 1-4,,true,188,224,1,1,http://localhost:8080/owners/4/pets/4/delete,8,0,0
1716752301006,7,DELETE Pet-1,200,User threads 1-4,text,true,4240,124,1,1,http://localhost:8080/owners/4,7,0,0
1716752301993,16,DELETE Pet,200,User threads 1-5,text,true,4430,348,1,1,http://localhost:8080/owners/5,9,0,1
1716752301993,9,DELETE Pet-0,302,User threads 1-5,,true,188,224,1,1,http://localhost:8080/owners/5/pets/5/delete,9,0,1
1716752302002,7,DELETE Pet-1,200,User threads 1-5,text,true,4242,124,1,1,http://localhost:8080/owners/5,7,0,0
1716752302999,23,DELETE Pet,200,User threads 1-6,text,true,4426,348,1,1,http://localhost:8080/owners/6,8,0,1
1716752302999,8,DELETE Pet-0,302,User threads 1-6,,true,188,224,1,1,http://localhost:8080/owners/6/pets/6/delete,8,0,1
1716752303007,15,DELETE Pet-1,200,User threads 1-6,text,true,4238,124,1,1,http://localhost:8080/owners/6,15,0,0
1716752303993,17,DELETE Pet,200,User threads 1-7,text,true,4423,348,1,1,http://localhost:8080/owners/7,9,0,1
1716752303993,9,DELETE Pet-0,302,User threads 1-7,,true,188,224,1,1,http://localhost:8080/owners/7/pets/7/delete,9,0,1
1716752304003,7,DELETE Pet-1,200,User threads 1-7,text,true,4235,124,1,1,http://localhost:8080/owners/7,7,0,0
1716752305001,16,DELETE Pet,200,User threads 1-8,text,true,4427,348,1,1,http://localhost:8080/owners/8,8,0,1
1716752305001,8,DELETE Pet-0,302,User threads 1-8,,true,188,224,1,1,http://localhost:8080/owners/8/pets/8/delete,8,0,1
1716752305010,7,DELETE Pet-1,200,User threads 1-8,text,true,4239,124,1,1,http://localhost:8080/owners/8,6,0,0
1716752305993,14,DELETE Pet,200,User threads 1-9,text,true,4435,348,1,1,http://localhost:8080/owners/9,9,0,1
1716752305993,9,DELETE Pet-0,302,User threads 1-9,,true,188,224,1,1,http://localhost:8080/owners/9/pets/9/delete,9,0,1
1716752306002,5,DELETE Pet-1,200,User threads 1-9,text,true,4247,124,1,1,http://localhost:8080/owners/9,5,0,0
1716752307000,15,DELETE Pet,200,User threads 1-10,text,true,4440,351,1,1,http://localhost:8080/owners/10,9,0,1
1716752307000,9,DELETE Pet-0,302,User threads 1-10,,true,189,226,1,1,http://localhost:8080/owners/10/pets/10/delete,9,0,1
1716752307009,6,DELETE Pet-1,200,User threads 1-10,text,true,4251,125,1,1,http://localhost:8080/owners/10,6,0,0
