timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716844983283,128,POST new pet,200,Original REST requests 1-3,text,true,4521,503,5,5,http://localhost:8080/owners/3;jsessionid=E54F816A96E18A6C1608EEBA65EC621F,9,0,1
1716844983078,333,POST new pet,200,Original REST requests 1-2,text,true,4517,503,5,5,http://localhost:8080/owners/2;jsessionid=0ED1C7A9FC0927DBDA49BD1C87518C08,97,0,1
1716844983283,9,POST new pet-0,302,Original REST requests 1-3,,true,307,282,5,5,http://localhost:8080/owners/3/pets/new,9,0,1
1716844983078,100,POST new pet-0,302,Original REST requests 1-2,,true,307,282,5,5,http://localhost:8080/owners/2/pets/new,97,0,1
1716844982921,490,POST new pet,200,Original REST requests 1-1,text,true,4518,503,5,5,http://localhost:8080/owners/1;jsessionid=A8C1EB8AA7127F75786389E1484C48EF,253,0,17
1716844983181,230,POST new pet-1,200,Original REST requests 1-2,text,true,4210,221,5,5,http://localhost:8080/owners/2;jsessionid=0ED1C7A9FC0927DBDA49BD1C87518C08,230,0,0
1716844983292,119,POST new pet-1,200,Original REST requests 1-3,text,true,4214,221,5,5,http://localhost:8080/owners/3;jsessionid=E54F816A96E18A6C1608EEBA65EC621F,119,0,0
1716844982921,256,POST new pet-0,302,Original REST requests 1-1,,true,307,282,5,5,http://localhost:8080/owners/1/pets/new,253,0,17
1716844983181,230,POST new pet-1,200,Original REST requests 1-1,text,true,4211,221,5,5,http://localhost:8080/owners/1;jsessionid=A8C1EB8AA7127F75786389E1484C48EF,230,0,0
1716844983489,16,POST new pet,200,Original REST requests 1-4,text,true,4518,503,5,5,http://localhost:8080/owners/1;jsessionid=76399FB9C1069B7579CD5E71031B8619,8,0,1
1716844983489,8,POST new pet-0,302,Original REST requests 1-4,,true,307,282,5,5,http://localhost:8080/owners/1/pets/new,8,0,1
1716844983497,8,POST new pet-1,200,Original REST requests 1-4,text,true,4211,221,5,5,http://localhost:8080/owners/1;jsessionid=76399FB9C1069B7579CD5E71031B8619,8,0,0
1716844983694,16,POST new pet,200,Original REST requests 1-5,text,true,4517,503,6,6,http://localhost:8080/owners/2;jsessionid=0EB15BFCA0615FEBACA551B409360C97,8,0,0
1716844983694,8,POST new pet-0,302,Original REST requests 1-5,,true,307,282,6,6,http://localhost:8080/owners/2/pets/new,8,0,0
1716844983702,8,POST new pet-1,200,Original REST requests 1-5,text,true,4210,221,6,6,http://localhost:8080/owners/2;jsessionid=0EB15BFCA0615FEBACA551B409360C97,8,0,0
1716844983717,56,Vets,200,Original REST requests 1-3,text,true,4264,178,6,6,http://localhost:8080/vets.html,55,0,0
1716844983714,59,Vets,200,Original REST requests 1-2,text,true,4264,178,6,6,http://localhost:8080/vets.html,58,0,0
1716844983714,59,Vets,200,Original REST requests 1-1,text,true,4264,178,6,6,http://localhost:8080/vets.html,58,0,0
1716844983807,6,Vets,200,Original REST requests 1-4,text,true,4264,178,7,7,http://localhost:8080/vets.html,6,0,0
1716844983900,12,POST new pet,200,Original REST requests 1-6,text,true,4521,503,7,7,http://localhost:8080/owners/3;jsessionid=A42CB324C30A058556201F878B345D40,7,0,1
1716844983900,7,POST new pet-0,302,Original REST requests 1-6,,true,307,282,7,7,http://localhost:8080/owners/3/pets/new,7,0,1
