;;Monolith Application;;;;;Modulith Synchronous;;;;;Modulith Asynchronous;;;;
Requests;;Response Times (ms);;;Network (KB/sec);;Response Times (ms);;;Network (KB/sec);;Response Times (ms);;;Network (KB/sec);
Label;Samples;Average;Min;Max;Received;Sent;Average;Min;Max;Received;Sent;Average;Min;Max;Received;Sent
POST Edit Owner;1000;10.71;4;103;505.21;10.94;29.87;4;106;2354.24;10.74;26.80;4;119;2353.27;10.73
POST new pet;1000;5.20;3;58;111.63;6.81;30.07;5;162;2433.37;10.34;27.48;5;59;2431.36;10.33
POST new visit;1000;11.17;5;36;527.28;10.42;30.09;4;173;2498.96;10.21;27.64;4;66;2496.72;10.21
GET find owner;1000;1.46;0;17;79.47;2.69;1.85;0;22;78.08;2.64;1.71;0;13;78.04;2.64
GET Vets;1000;2.34;1;146;89.98;2.64;3.30;1;224;88.20;2.59;2.53;1;145;88.31;2.59
DELETE Owner;10;73.70;20;487;5.10;0.38;63.60;17;430;5.07;0.38;71.40;14;527;5.07;0.38
DELETE Pet;10;65.30;18;456;4.82;0.38;58.90;15;438;4.82;0.38;58.70;15;433;4.82;0.38
;;;;;;;;;;;;;;;;
